text,class
automação travando z logof teclado mouse ctxrecsa opção máquinas sistema/serviço,1
c inadimplência terminais suspenso senhores verificamos v flag pagas status,1
tentato cancelamento executada invalido possivel solicitou s ja devido retirada,2
enviada clarify ordem,2
interoperação wll novas falha devido usuária abertura verificação posto parada,2
abrigo questionada confeccoes tt maio epp antigo fatura período acordo,2
dependentes cobrando indevidas so cobranças arbor segue informa cliente contato,1
uxvmjh receendo conf bonus pms recarga total oi cobrado tv,1
cta circuitos preciso gerar retirada corrigir aparece mensagem print anexo,1
operadora caros dani lais paula autenticação tiago recusada ana autenticar,1
qmai cms segmento varejo evento investigar pagamento tipo ciclo linhas,2
spada domingues fernanda cpf/cnpj controle atualizar site nascimento número pós,2
sac/acl obrigada momento permanece baixa eai bom entregue prosseguir instalação,2
orderid=vncs php/ctm_tlmoi_pri_/vncs group=pfx_rel_consumo_dado arbpc_cat_trunc_frq_dados application=arb_relatorios nodeid=kenpx alerta controlm=ctm_tlmoi_pri gaap sysout,2
gde cancelar usuário número pedido oi,1
abonador cta ocorrendo troca novo evidencias realizar tentar segue informa,1
claudimar viabilidade denilson fixo+velox endereço vendedor magalhaes revenda pdv loja,2
qualificar designar par jda metálico metalico tdm circuito ir tarefa,2
oktjsk entrou informando total ativação contato fixo conta conectado venda,2
nhskk semente retirada sementes lab houvesse agrupamento pf res pro,2
vzkqs critíca surgir oi total supervisor informe desativar benefício conta,1
meio utilizando chip ativo pms colocar pré-pago inativo siebel acesso,2
wraj oi total fixo conta associado informar impedindo tv tratamento,2
tel fechamento crítica,2
tscwfg dezabilitada sinn tv oi ciente problemas total liberar prazo,2
viabilidade netwin retorna ocorre verificação evidências solicita realizar segue informa,2
subiu travada sac eai entregue oms terminal,1
interfaceada help-desk cgb acionar tecle enter encerrada programa ja c,1
preq responsável liberar conseguindo verificação posto usuário apresenta solicita informa,2
wfafa bundle evidenciado retornou encontram ativos conclusão liberação produtos tv,2
parte úncia pendenciar ba´s tratar voz pendente soc velox segue,2
orderid=lzg prc_step=rffpsel rffps rc=u site=rj pgm_step=step jobid odate job cancelamento,2
provisionou pano ativação tela print stc segue informa siebel total,2
arins budal gerado salete bp mariano ato cancelados ligação trabalho,2
diaria judicial urgencia multa impedindo trata gerando tratamento parada solicito,2
uniformes parcelado transferido teminal acredito criticas w parcelamento saf quitado,2
aa acx tela controle serviço deixando retirado inativo corrigir fixo,2
casella implantar rogerio referentes ciente pacotes favor,1
aparesenta abre bc pa tela siebel erro,2
estah afetando fibra cco-st ha tmapw h pedido mais siebel,1
promoção trabalho inicial hernando consentimento ótimo bônus bom nadia tele,2
online conta,2
marcar skoll viabilidade clicando correspondência ot_mar_fid_pos+_gb_mi_bl_ld endereço ddd+terminal tentarmos aparece,2
rodinei aguiar carminha magmesita almeida ionforma imprimi-las ed número bloqueado,2
impressão visualização pdf magalhaes queixa vencimento disponível nasc carlos arquivo,2
pendenciado tarefa bsa travado tramitou ba ref df sge tramitar,2
banda-larga bruna vendedora aparecida ocorrendo gomes rj dados santos maria,2
sistemático entendimento eventual hdck carregar pessoal portas disponíveis sul técnica,1
leonardo nunes rocha finalizado execução insfastve providenciar ja vencida z,2
transferencia titularidade execução troca momento ocorre informa evidencias critica realizar,2
mudos terminais migrados relação brt final concluído assim processo clientes,2
incentiva ferramenta coimbra prestada nadia retirando bloqueio portadora atenção bloqueada,2
receptivo tv total retenção oi sinn móvel operação ocorreu problema,2
contorle qeu favro incompativel hoje velox possui plano deseja sistema,2
wf_extrai_carrega_faturas_arb_to_portal orderid=ez php/ctm_tlmoi_pri_/ez group=pinf_ebilling application=informatica nodeid=bbiprd alerta controlm=ctm_tlmoi_pri gaap sysout,1
ic atendente alterado d ferrero afetado ä bmc_application adicionado arbor,1
orp pinheiro nunes continuidade anexos fernando possamos cancelamento reclamado reclamante,1
salles marlene priscila jesus cta nrc terminal/contrato encerrar silva cto,1
orderid=ofc prc_step=jutd jutd site=pg pgm_step=step jobid rc odate job cancelamento,2
funcionalidade drasticamente disparando tagueamento transações analytics provavelmente relacionado google caiu,1
proposta efetuado estado informação gerou entrou referente informando numero gerar,2
autenticação portabilidade vaga realmente permanecer desconexão trabalho claro conflito felipe,2
xegsm exposta muda configura consultor clica invés desativar oi surge,2
b oct recife efetuar desassociado orientado ex ficando area divergencia,2
gra pi capretz hilario solcita mg vanderlei marcio errado incorreto,1
faturou duplicidade período assinatura linha flex ass evidencias gprs assinaturas,2
fidalgo martinez nelson executa david fone sisjur reclamado pr pendente,1
tab-combos existência investigado fastve serviço obrigatório pbi verificamos prezado proceder,2
orderid=mxjv utcd prc_step=step site=mg pgm_step=step jobid rc odate job cancelamento,2
estah afetando fibra cco-st ha tmapw h pedido mais siebel,2
mateus perezcorretores rebeca perez segunda castro número disponivel nome br,1
reparei replicando informação id_bundle especificado várias pendente mensal diário bundle,1
arnecke efetuei verifiquei migração caminho vanessa cancelada noite pdv sibel,1
póssivel agência corrente ultima aparecido marco paiva débito automático solicitado,2
apaa constando tentamos origem gerando posto corrigir encontra mensagem tela,2
workgroup mszc início imp reagendar referência vitria sc evidência parada,1
sge encerrado cpe travado tramitou ba ref tramitar atualizar circuito,2
il bd mart wal super aceita vip brasil tentamos fechar,2
f sup concedida sav niterói auditoria ijb matrículas anderson deixam,2
vhxy genérico muda desativação apresentou mostra total oi prints impedindo,1
verifcar parado envio ficou hora aguardando pedido mais favor,2
renilda anc pcte term qtde inferior combos opcao detalhes invalido,1
